Country;Year;Pollutant;VAR;Value;
Australia;1990;Methane;TOTAL;118.768,838;
Australia;1990;Carbon dioxide;TOTAL;278.265,899;
Australia;1990;Greenhouse gases;ENER;292.802,453;
Australia;1990;Greenhouse gases;ENER_IND;143.073,413;
Australia;1990;Greenhouse gases;ENER_MANUF;36.256,408;
Australia;1990;Greenhouse gases;ENER_TRANS;61.394,558;
Australia;1990;Greenhouse gases;ENER_OSECT;15.605,489;
Australia;1990;Greenhouse gases;ENER_OTH;422,987;
Australia;1990;Greenhouse gases;ENER_FU;36.049,599;
Australia;1990;Greenhouse gases;IND_PROC;26.108,523;
Australia;1990;Greenhouse gases;AGR;80.060,540;
Australia;1990;Greenhouse gases;WAS;19.651,533;
Australia;1990;Greenhouse gases;TOTAL;418.623,050;
Australia;1990;Hydrofluorocarbons;TOTAL;1.424,684;
Australia;1990;Nitrous oxide;TOTAL;15.345,598;
Australia;1990;Perfluorocarbons;TOTAL;4.607,013;
Australia;1990;Sulphur hexafluoride;TOTAL;211,019;
Australia;1991;Methane;TOTAL;117.744,642;
Australia;1991;Carbon dioxide;TOTAL;279.741,639;
Australia;1991;Greenhouse gases;ENER;294.441,713;
Australia;1991;Greenhouse gases;ENER_IND;146.323,913;
Australia;1991;Greenhouse gases;ENER_MANUF;35.791,652;
Australia;1991;Greenhouse gases;ENER_TRANS;60.799,765;
Australia;1991;Greenhouse gases;ENER_OSECT;15.771,208;
Australia;1991;Greenhouse gases;ENER_OTH;446,461;
Australia;1991;Greenhouse gases;ENER_FU;35.308,715;
Australia;1991;Greenhouse gases;IND_PROC;25.366,272;
Australia;1991;Greenhouse gases;AGR;79.211,915;
Australia;1991;Greenhouse gases;WAS;19.654,158;
Australia;1991;Greenhouse gases;TOTAL;418.674,057;
Australia;1991;Hydrofluorocarbons;TOTAL;1.424,684;
Australia;1991;Nitrous oxide;TOTAL;14.923,405;
Australia;1991;Perfluorocarbons;TOTAL;4.610,743;
Australia;1991;Sulphur hexafluoride;TOTAL;228,945;
Australia;1992;Methane;TOTAL;116.837,507;
Australia;1992;Carbon dioxide;TOTAL;284.766,093;
Australia;1992;Greenhouse gases;ENER;300.485,623;
Australia;1992;Greenhouse gases;ENER_IND;149.648,302;
Australia;1992;Greenhouse gases;ENER_MANUF;35.344,326;
Australia;1992;Greenhouse gases;ENER_TRANS;61.812,430;
Australia;1992;Greenhouse gases;ENER_OSECT;16.216,822;
Australia;1992;Greenhouse gases;ENER_OTH;497,858;
Australia;1992;Greenhouse gases;ENER_FU;36.965,885;
Australia;1992;Greenhouse gases;IND_PROC;25.986,354;
Australia;1992;Greenhouse gases;AGR;77.182,430;
Australia;1992;Greenhouse gases;WAS;19.425,701;
Australia;1992;Greenhouse gases;TOTAL;423.080,108;
Australia;1992;Hydrofluorocarbons;TOTAL;1.333,184;
Australia;1992;Nitrous oxide;TOTAL;15.293,183;
Australia;1992;Perfluorocarbons;TOTAL;4.603,283;
Australia;1992;Sulphur hexafluoride;TOTAL;246,859;
Australia;1993;Methane;TOTAL;113.837,512;
Australia;1993;Carbon dioxide;TOTAL;289.142,268;
Australia;1993;Greenhouse gases;ENER;303.823,606;
Australia;1993;Greenhouse gases;ENER_IND;151.413,635;
Australia;1993;Greenhouse gases;ENER_MANUF;35.927,273;
Australia;1993;Greenhouse gases;ENER_TRANS;63.393,805;
Australia;1993;Greenhouse gases;ENER_OSECT;16.672,277;
Australia;1993;Greenhouse gases;ENER_OTH;504,367;
Australia;1993;Greenhouse gases;ENER_FU;35.912,250;
Australia;1993;Greenhouse gases;IND_PROC;25.702,218;
Australia;1993;Greenhouse gases;AGR;74.954,543;
Australia;1993;Greenhouse gases;WAS;19.284,566;
Australia;1993;Greenhouse gases;TOTAL;423.764,933;
Australia;1993;Hydrofluorocarbons;TOTAL;1.829,872;
Australia;1993;Nitrous oxide;TOTAL;15.374,993;
Australia;1993;Perfluorocarbons;TOTAL;3.315,528;
Australia;1993;Sulphur hexafluoride;TOTAL;264,759;
Australia;1994;Methane;TOTAL;110.997,410;
Australia;1994;Carbon dioxide;TOTAL;293.830,709;
Australia;1994;Greenhouse gases;ENER;304.795,153;
Australia;1994;Greenhouse gases;ENER_IND;152.235,950;
Australia;1994;Greenhouse gases;ENER_MANUF;36.718,711;
Australia;1994;Greenhouse gases;ENER_TRANS;64.920,612;
Australia;1994;Greenhouse gases;ENER_OSECT;16.541,445;
Australia;1994;Greenhouse gases;ENER_OTH;563,822;
Australia;1994;Greenhouse gases;ENER_FU;33.814,613;
Australia;1994;Greenhouse gases;IND_PROC;25.598,990;
Australia;1994;Greenhouse gases;AGR;75.084,837;
Australia;1994;Greenhouse gases;WAS;18.613,979;
Australia;1994;Greenhouse gases;TOTAL;424.092,959;
Australia;1994;Hydrofluorocarbons;TOTAL;1.027,344;
Australia;1994;Nitrous oxide;TOTAL;15.790,427;
Australia;1994;Perfluorocarbons;TOTAL;2.164,429;
Australia;1994;Sulphur hexafluoride;TOTAL;282,641;
Australia;1995;Methane;TOTAL;109.900,735;
Australia;1995;Carbon dioxide;TOTAL;305.162,544;
Australia;1995;Greenhouse gases;ENER;317.144,492;
Australia;1995;Greenhouse gases;ENER_IND;158.062,056;
Australia;1995;Greenhouse gases;ENER_MANUF;37.662,691;
