Country;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
Australia;17065100;17284000;17495000;17667000;17855000;18072000;18311000;18517000;18711000;18926000;19153000;19413000;19651400;19895400;20127400;20394800;20697900;20827600;21249200;21691700;22031750;22340024;22728254;23117353;23464086
Austria;7677850;7754891;7840709;7905633;7936118;7948278;7959017;7968041;7976789;7992324;8011566;8042293;8081957;8121423;8171966;8227829;8268641;8295487;8321496;8343323;8363404;8391643;8429991;8479375;8541575
Brazil;150393143;152916852;155379009;157812220;160260508;162755054;165303155;167893835;170516482;173153066;175786441;178419396;181045592;183627339;186116363;188479240;190698241;192784521;194769696;196701298;198614208;200517584;202401584;204259377;206077898
Canada;27791000;28171682;28519597;28833410;29111906;29354000;29671900;29987200;30247900;30499200;30769700;31081900;31362000;31676000;31995000;32312000;32570505;32887928;33245773;33628571;34005274;34342780;34751476;35155499;35543658
Switzerland;6715519;6799978;6875364;6938265;6993795;7040687;7071850;7088906;7110001;7143991;7184250;7229854;7284753;7339001;7389625;7437115;7483934;7551117;7647675;7743831;7824909;7912398;7996861;8089346;8188649
Czech Republic;10333355;10308578;10319123;10329855;10333587;10327253;10315241;10304131;10294373;10283860;10255063;10216605;10196916;10193998;10197101;10211216;10238905;10298828;10384603;10443936;10474410;10496088;10510785;10514272;10525347
Germany;79433029;80013896;80624598;81156363;81438348;81678051;81914831;82034771;82047195;82100243;82211508;82349925;82488495;82534176;82516260;82469422;82376451;82266372;82110097;81902307;81776930;81797673;80425823;82132753;80982500
Spain;38850435;38939049;39067745;39189400;39294967;39387017;39478186;39582413;39721108;39926268;40263216;40756001;41431558;42187645;42921895;43653155;44397319;45226803;45954106;46362946;46576897;46742697;46773055;46620045;46480882
France;58512808;58559312;58851216;59106766;59327194;59541900;59753098;59964845;60186291;60496715;60912498;61357431;61805267;62244884;62704897;63179356;63621376;64016229;64374990;64707044;65027512;65342776;65659790;65972097;66495940
United Kingdom;57247586;57424897;57580402;57718614;57865745;58019030;58166950;58316954;58487141;58682466;58892514;59119673;59370479;59647577;59987905;60401206;60846820;61322463;61806995;62276270;62766365;63258918;63700300;64128226;64613160
Iceland;254826;257797;261057;263725;266021;267468;268916;271128;274047;277381;281205;284968;287523;289521;292074;296734;303782;311566;317414;318499;318041;319014;320716;323764;327386
Japan;123537000;123921000;124229000;124536000;124961000;125439000;125757000;126057000;126400000;126631000;126843000;127149000;127445000;127718000;127761000;127773000;127854000;128001000;128063000;128047000;128070000;127817277;127561489;127338621;127131800
Norway;4241473;4261732;4286401;4311991;4336613;4359184;4381336;4405157;4431464;4461913;4490967;4513751;4538159;4564855;4591910;4623291;4660677;4709153;4768212;4828726;4889252;4953088;5018573;5079623;5137232
New Zealand;3329800;3495100;3531700;3572200;3620000;3673400;3732000;3781300;3815000;3835100;3857700;3880500;3948500;4027200;4087500;4133900;4184600;4223800;4259800;4302600;4350700;4384000;4408100;4442100;4509700
Russia;148292000;148624000;148689000;148520000;148336000;148375726;148160042;147915307;147670692;147214392;146596557;145976083;145306046;144648257;144067054;143518523;143049528;142805088;142742350;142785342;142849449;142960868;143201676;143506911;143819569
Slovak Republic;5299187;5303294;5305016;5325305;5346331;5361999;5373361;5383291;5390516;5396020;5388720;5378867;5376912;5373374;5372280;5372807;5373054;5374622;5379233;5386406;5391428;5398384;5407579;5413393;5418649
Sweden;8558835;8617375;8668067;8718561;8780745;8826939;8840998;8846062;8850974;8857874;8872109;8895960;8924958;8958229;8993531;9029572;9080505;9148092;9219637;9298515;9378126;9449213;9519374;9600379;9696110
United States;249623000;252981000;256514000;259919000;263126000;266278000;269394000;272657000;275854000;279040000;282162411;284968955;287625193;290107933;292805298;295516599;298379912;301231207;304093966;306771529;309346863;311718857;314102623;316427395;318907401
Total;997157936;1005636424;1014038996;1021826301;1029191872;1036706981;1043854877;1050976338;1057986971;1064919812;1071934425;1079036163;1086172710;1093156815;1100101063;1107031770;1114088156;1121283883;1128710251;1135541852;1142057528;1148145293;1152920061;1160602542;1165863556
